"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,Source Used for Orbital Data
"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)",USA,USA,US Air Force,Military,Communications,,GEO,,-112.00,"35,747","35,826",9.37E-04,0,1436.1,,,,4/14/2018,,Unknown,USA,Cape Canaveral,Atlas  5,2018-036A,43339,Air Force’s Continuous Broadcast Augmenting SATCOM,JMGEO/5_18
CBERS 4 (China-Brazil Earth Resources Satellite 4),NR,China/Brazil,China National Space Administration (China)/National Institute for Space Research (Brazil),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.00,738,748,7.03E-04,98.55,99.67,"1,980",,"2,300",12/7/2014,3,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2014-079A,40336,Carrying a range of Earth observation sensors.,ZARYA
CBNT-1 (Carbonite 1),NR,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,636,658,1.57E-03,98,97.66,91,,,7/10/2015,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2015-032D,40718,Demonstrate earth observation techniques.,JM/8_15
CBNT-2 (Carbonite 2),United Kingdom,United Kingdom,Earthi/Surrey Satellite Technology Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,493,505,8.73E-04,97.5,94.5,,,,1/11/2018,,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2018-004E,43115,Pathfinder mission for the Earth-i constellation of high-resolution video and still imaging satellites,JMSatcat/5_18
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),USA,USA,Air Force Research Laboratory,Military,Technology Development,,LEO,Sun-Synchronous,0.00,576,586,7.19E-04,97.98,96.29,3,,,11/11/2016,,M42 Technologies,USA,Vandenberg AFB,Atlas 5,2016-067C,41850,,prehled-druzic
Centauri-1,Australia,Australia,Fleet Space Technologies,Commercial,Communications,,LEO,Sun-Synchronous,0.00,476,500,1.75E-03,97,95,4,,,11/29/2018,,Pumpkin Space Systems,USA,Satish Dhawan Space Centre,PSLV,2018-099BD,43809,Test cubesat.,Estimated
Centauri-2,Australia,Australia,Fleet Space Technologies,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,573,591,1.29E-03,97.7,96.3,4,,,12/3/2018,,Pumpkin Space Systems,USA,Vandenberg AFB,Falcon 9,2018-096D,43722,Demonstration of IoT technologies.,JMSatcat/3_19)
Centispace-1-S1,China,China,Beijing Future Navigation Technology Co. Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,0.00,700,719,1.34E-03,98.2,98.8,100,,,9/29/2018,,Innovation Academy for Microsatellites (CAS),China,Jiuquan Satellite Launch Center,Kuaizhou,2018-075A,43636,Demonstration satellite for network to augment navigation services.,JMSatcat/11_18
CeReS (Compact Radiation belt Explorer),NR,USA,NASA Goddard Space Flight Center,Government,Space Science,,LEO,Polar,0.00,494,511,1.24E-03,85.04,94.6,4,,,12/16/2018,,NASA Goddard Space Flight Center,USA,Rocket Lab Launch Complex 1,Electron,2018-104E,43853,High energy particle measurement in Earth's radiation belt.,JMSatcat/3_19
CE-SAT-1 (Canon Electric Satellite 1),Japan,Japan,Canon Electronics ,Commercial,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0.00,497,517,1.45E-03,97.45,94.76,3,,,6/22/2017,,Canon Electronics Space Technology Laboratory,Japan,Satish Dhawan Space Centre,PSLV,2017-036E,42769,Create a high-resolution Earth-imaging system by combining a Cassegrain telescope with a conventional Canon image sensor found in the firm’s EOS product line.,JMSatcat/10_17
CFESat (Cibola Flight Experiment Satellite),USA,USA,Los Alamos National Laboratory,Government,Technology Development,,LEO,Non-Polar Inclined,0.00,538,544,4.34E-04,35.4,95.5,159,,110,3/9/2007,,Surrey Satellite Technology Ltd.,UK,Cape Canaveral,Atlas 5,2007-006F,30777,"A number of experiments, including a prototype supercomputer designed to process data onboard rather than sending raw information directly to Earth.",www.satellitedebris.net 12/12
